Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(SubSkills)	Opportunity(SubSkills)
3251	271ehalus09w	Unit GCF, Section gcf-2	GCF-C-04-06	1	Question3	2006-10-19 13:36:34.0	2006-10-19 13:36:44.0	2006-10-19 13:36:44.0	2006-10-19 13:36:44.0	10	10		1	0	0	1	Identify number of items in each group from GCF	2
3314	271ehalus09w	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-2	POW2S11	1	HowMany	2006-10-19 14:23:47.0	2006-10-19 14:23:53.0	2006-10-19 14:23:53.0	2006-10-19 14:23:53.0	6	6		1	0	0	1	Identify number of equal divisions (square)	1
3730	2715e02sg2nj	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-1	PICTALG1AU531	1	SmallerBar	2006-10-19 08:56:12.0	2006-10-19 08:56:16.0	2006-10-19 08:56:16.0	2006-10-19 08:56:16.0	4	4		1	0	0	1	Enter initial in diagram -- given	17
4154	2715e02sg2nj	Unit LCM, Section lcm-1	LCM-10-16	1	LCMCheckbox1:8	2006-11-02 08:41:34.0	2006-11-02 08:41:38.0	2006-11-02 08:41:38.0	2006-11-02 08:41:38.0	4	4		1	0	0	1	Identify number as common multiple	96
4417	2715e02sg2nj	Unit GCF, Section gcf-1	GCF-32-50	1	MorePairs1:2	2006-11-16 09:11:40.0	2006-11-16 09:11:43.0	2006-11-16 09:11:43.0	2006-11-16 09:11:43.0	3	3		1	0	0	1		
4671	2717q4edrrn3	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU197	1	Bar1	2006-10-12 08:34:49.0	2006-10-12 08:34:51.0	2006-10-12 08:34:51.0	2006-10-12 08:34:51.0	2	2		1	0	0	1	Draw smaller bar -- addition/subtraction	13
5552	2717q4edrrn3	Unit LCM, Section lcm-2	LCM-C-15-18	1	LCMFactor1:5	2007-01-18 09:25:04.0	2007-01-18 09:25:06.0	2007-01-18 09:25:06.0	2007-01-18 09:25:06.0	2	2		1	0	0	1	List consecutive multiples of a number	390
6138	2717q4edrrn3	Unit GCF, Section gcf-2	GCF-C-06-09	1	FactorPairBox:1:1	2007-03-08 08:39:51.0	2007-03-08 08:39:56.0	2007-03-08 08:39:56.0	2007-03-08 08:39:56.0	5	5		1	0	0	1		
6635	2717q4edrrn3	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-4	POG4W-21-0	1	DragMarble:2	2007-04-05 09:25:46.0	2007-04-05 09:25:48.0	2007-04-05 09:25:48.0	2007-04-05 09:25:48.0	2	2		1	0	0	1		
6831	2717q4edrrn3	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-1	POWS1S02	1	Question2	2007-05-24 08:54:30.0	2007-05-24 08:54:34.0	2007-05-24 08:54:34.0	2007-05-24 08:54:34.0	4	4		1	0	0	1	Identify number of recipients	1
6971	271823buwnj5	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU178	1	InitialQuestion	2006-10-19 09:16:36.0	2006-10-19 09:17:19.0	2006-10-19 09:17:19.0	2006-10-19 09:17:19.0	43	43		1	0	0	1	Identify larger quantity -- subtraction	3
7525	271823buwnj5	Unit LCM, Section lcm-2	LCM-C-09-18	1	LCMCheckbox2:7	2006-11-02 08:48:21.0	2006-11-02 08:48:22.0	2006-11-02 08:48:22.0	2006-11-02 08:48:22.0	0.5	0.5		1	0	0	1	Identify number as common multiple	222
8235	271823buwnj5	Unit GCF, Section gcf-2	GCF-C-10-16	1	FactorPairBox:1:1	2007-01-18 08:39:15.0	2007-01-18 08:39:17.0	2007-01-18 08:39:17.0	2007-01-18 08:39:17.0	2	2		1	0	0	1		
8529	271823buwnj5	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-4	POG4W-23-0	1	HowManyPink	2007-01-18 09:05:06.0	2007-01-18 09:05:08.0	2007-01-18 09:05:08.0	2007-01-18 09:05:08.0	2	2		1	0	0	1	Identify number of desired items	18
11321	271823buwnj5	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-2	POWS2V02	1	Question1	2007-02-01 08:52:10.0	2007-02-01 08:52:16.0	2007-02-01 08:52:16.0	2007-02-01 08:52:16.0	6	6		1	0	0	1	Identify number of items	111
13756	271823buwnj5	Unit DIVIDING-GROUPS, Section DIVIDING_GROUPS-3	POG3-14-1-1	1	HowManyTotal2	2007-02-22 09:08:20.0	2007-02-22 09:08:21.0	2007-02-22 09:08:21.0	2007-02-22 09:08:21.0	1	1		1	0	0	1	Enter items denominator	23
14095	271823buwnj5	Unit EQUIVALENT-FRACTIONS, Section EQUIVALENT-FRACTIONS-5	EQFRAC5CC002-018	1	CompareOriginal	2007-03-27 08:29:24.0	2007-03-27 08:29:27.0	2007-03-27 08:29:27.0	2007-03-27 08:29:27.0	3	3		1	0	0	1	Compare fractions with unlike denominators	2
14643	271823buwnj5	Unit FRACTION-OPERATIONS-1, Section FRACTION-OPERATIONS-I-4	FRACOPS4A01-28	1	Fraction:Result	2007-05-10 09:27:17.0	2007-05-10 09:27:24.0	2007-05-10 09:27:24.0	2007-05-10 09:27:24.0	7	7		1	0	0	1	Calculate sum -- contextual	11
15002	271brvukbjka	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-1	PICTALG1AU505	1	Label:1	2006-10-12 08:56:11.0	2006-10-12 08:57:08.0	2006-10-12 08:57:08.0	2006-10-12 08:57:08.0	19	19		1	0	0	1		
15785	271brvukbjka	Unit LCM, Section lcm-2	LCM-C-04-06	1	LCMFactor1:3	2006-11-02 08:53:08.0	2006-11-02 08:53:31.0	2006-11-02 08:53:31.0	2006-11-02 08:53:31.0	23	23		1	0	0	1	List consecutive multiples of a number	266
17117	271brvukbjka	Unit GCF, Section gcf-2	GCF-C-04-06	1	FactorPairBox:1:3	2006-12-07 09:12:17.0	2006-12-07 09:12:27.0	2006-12-07 09:12:27.0	2006-12-07 09:12:27.0	10	10		1	0	0	1		
17383	271ctciuqlde	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU332	1	FirstAnswer	2006-10-05 09:01:29.0	2006-10-05 09:01:35.0	2006-10-05 09:01:35.0	2006-10-05 09:01:35.0	6	6		1	0	0	1	Enter quantity from diagram by reading	25
17734	271ctciuqlde	Unit LCM, Section lcm-2	LCM-C-10-12	1	Product	2006-10-12 09:04:29.0	2006-10-12 09:04:42.0	2006-10-12 09:04:42.0	2006-10-12 09:04:42.0	13	13		1	0	0	1	Calculate product of two numbers	36
18148	271ctciuqlde	Unit GCF, Section gcf-2	GCF-C-24-30	1	GCFCheckbox1:1	2006-11-02 09:00:01.0	2006-11-02 09:00:04.0	2006-11-02 09:00:04.0	2006-11-02 09:00:04.0	3	3		1	0	0	1	Identify number as common factor	126
18337	271ctciuqlde	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-2	POW2S53	1	HowMany	2007-03-29 08:19:46.0	2007-03-29 08:20:17.0	2007-03-29 08:20:17.0	2007-03-29 08:20:17.0	31	31		1	0	0	1	Identify number of equal divisions (square)	7
18611	271dhb806kvk	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-3	PICTALG3MU041	1	GeneralHelpGoalNode	2006-10-05 09:04:40.0	2006-10-05 09:04:42.0		2006-10-05 09:04:42.0	2		2	0	0	0	0		
19182	271dhb806kvk	Unit LCM, Section lcm-2	LCM-C-08-20	1	LCMCheckbox1:5	2006-10-12 08:47:46.0	2006-10-12 08:47:47.0	2006-10-12 08:47:47.0	2006-10-12 08:47:47.0	1	1		1	0	0	1	Identify number as common multiple	193
20109	271dhb806kvk	Unit GCF, Section gcf-2	GCF-C-12-16	1	Question1	2006-10-19 09:27:21.0	2006-10-19 09:27:24.0	2006-10-19 09:27:24.0	2006-10-19 09:27:24.0	3	3		1	0	0	1	Identify GCF	13
20505	271dhb806kvk	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-1	POW1V31	1	Shape1:4	2006-11-02 08:35:48.0	2006-11-02 08:35:49.0	2006-11-02 08:35:49.0	2006-11-02 08:35:49.0	1	1		1	0	0	1		
22777	271dhb806kvk	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-3	POWS3H30	1	Exercise1:Item3:4	2006-11-30 09:18:03.0	2006-11-30 09:18:06.0	2006-11-30 09:18:06.0	2006-11-30 09:18:06.0	3	3		1	0	0	1		
23993	271dhb806kvk	Unit DIVIDING-GROUPS, Section DIVIDING_GROUPS-2	POG2-24-1	1	DragMarble:7	2006-12-14 08:49:27.0	2006-12-14 08:49:29.0	2006-12-14 08:49:29.0	2006-12-14 08:49:29.0	2	2		1	0	0	1		
24564	271dhb806kvk	Unit EQUIVALENT-FRACTIONS, Section EQUIVALENT-FRACTIONS-6	EQFRAC6E001-003	1	CompareBuilt	2007-02-22 08:34:14.0	2007-02-22 08:34:18.0	2007-02-22 08:34:18.0	2007-02-22 08:34:18.0	4	4		1	0	0	1	Compare fractions with like denominators	16
24878	271dhb806kvk	Unit FRACTION-OPERATIONS-1, Section FRACTION-OPERATIONS-I-3	FRACOPS3S17-01	1	Fraction1:5	2007-02-22 09:33:08.0	2007-02-22 09:33:09.0	2007-02-22 09:33:09.0	2007-02-22 09:33:09.0	1	1		1	0	0	1		
25647	271dhb806kvk	Unit MIXED-IMPROPER-FRACTIONS, Section MIXED-IMPROPER-FACTIONS-2	EQFRAC-I-09	1	Shape3:3	2007-03-15 08:24:35.0	2007-03-15 08:24:36.0	2007-03-15 08:24:36.0	2007-03-15 08:24:36.0	1	1		1	0	0	1		
26240	271dhb806kvk	Unit FRACTION-OPERATIONS-2, Section FRACTION-OPERATIONS-II-1	FRACOPS5M11-17	1	Simplifiable	2007-05-24 08:49:35.0	2007-05-24 08:49:37.0	2007-05-24 08:49:37.0	2007-05-24 08:49:37.0	2	2		1	0	0	1	Identify that a fraction can/cannot be simplified	6
26600	271j9funghag	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-1	PICTALG1AU175	1	LargerBarExtension	2006-10-05 09:16:59.0	2006-10-05 09:17:02.0	2006-10-05 09:17:02.0	2006-10-05 09:17:02.0	3	3		1	0	0	1	Enter added quantity in diagram	2
27799	271j9funghag	Unit LCM, Section lcm-1	LCM-03-09	1	LCMCheckbox1:9	2006-11-02 08:39:40.0	2006-11-02 08:39:41.0	2006-11-02 08:39:42.0	2006-11-02 08:39:42.0	1		1	0	1	0	1	Identify number as common multiple	447
29566	271j9funghag	Unit GCF, Section gcf-1	GCF-18-50	1	FactorPairBox:2:3	2006-11-16 09:01:01.0	2006-11-16 09:01:26.0	2006-11-16 09:01:38.0	2006-11-16 09:01:38.0	30		30	0	0	1	1	List factor of large number	196
30105	271ld3j553pf	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU410	1	Label:2	2006-10-12 08:37:23.0	2006-10-12 08:37:33.0	2006-10-12 08:37:33.0	2006-10-12 08:37:33.0	3.333	3.333		1	0	0	1		
30455	271ld3j553pf	Unit LCM, Section lcm-2	LCM-C-15-18	1	LCMFactor2:8	2006-10-12 09:18:03.0	2006-10-12 09:18:10.0	2006-10-12 09:18:10.0	2006-10-12 09:18:10.0	7	7		1	0	0	1	List consecutive multiples of a number	146
30741	271ld3j553pf	Unit GCF, Section gcf-2	GCF-C-09-12	1	Question3	2006-10-26 09:00:26.0	2006-10-26 09:00:35.0	2006-10-26 09:00:49.0	2006-10-26 09:00:49.0	23		23	0	1	0	1	Identify number of items in each group from GCF	18
31046	271ld3j553pf	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-3	POG3W-54-0	1	CountTotal	2006-11-30 09:10:52.0	2006-11-30 09:10:58.0	2006-11-30 09:10:58.0	2006-11-30 09:10:58.0	6	6		1	0	0	1	Identify number of total items	5
33288	271ld3j553pf	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-2	POWS2H03	2	Question3	2007-03-08 09:02:12.0	2007-03-08 09:02:13.0	2007-03-08 09:02:18.0	2007-03-08 09:02:18.0	6		6	0	1	0	1	Identify improper fraction from option 1	22
35143	271ld3j553pf	Unit DIVIDING-GROUPS, Section DIVIDING_GROUPS-3	POG3-05-7-0	1	HowManyTotal2	2007-04-19 08:49:03.0	2007-04-19 08:49:08.0	2007-04-19 08:49:08.0	2007-04-19 08:49:08.0	5	5		1	0	0	1	Enter items denominator	31
35219	271ld3j553pf	Unit EQUIVALENT-FRACTIONS, Section EQUIVALENT-FRACTIONS-1	EQFRAC1E001-4	1	Fraction:FigureAnswer	2007-05-24 09:19:20.0	2007-05-24 09:19:24.0	2007-05-24 09:19:24.0	2007-05-24 09:19:24.0	4	4		1	0	0	1	Label equivalent fraction in visual	3
35522	271q2h2eu0ag	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-1	PICTALG1AU073	1	SecondAnswer	2006-10-05 08:58:37.0	2006-10-05 08:58:42.0	2006-10-05 08:58:42.0	2006-10-05 08:58:42.0	5	5		1	0	0	1	Enter quantity from diagram by calculating	15
36014	271q2h2eu0ag	Unit LCM, Section lcm-2	LCM-C-08-20	1	OptionalTasks	2006-10-12 08:26:49.0	2006-10-12 08:26:53.0	2006-10-12 08:26:53.0	2006-10-12 08:26:53.0	4	4		1	0	0	1		
37207	271q2h2eu0ag	Unit GCF, Section gcf-2	GCF-C-16-32	1	GCFCheckbox2:4	2006-10-12 09:19:25.0	2006-10-12 09:19:28.0	2006-10-12 09:19:28.0	2006-10-12 09:19:28.0	1.5	1.5		1	0	0	1	Identify number as common factor	434
37582	271q2h2eu0ag	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-1	POW1C57	1	Shape1:6	2006-10-19 08:48:23.0	2006-10-19 08:48:24.0	2006-10-19 08:48:24.0	2006-10-19 08:48:24.0	0.5	0.5		1	0	0	1		
40520	271q2h2eu0ag	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-3	POWS3H33	1	Exercise1:Item2:5	2006-11-02 08:38:15.0	2006-11-02 08:38:16.0	2006-11-02 08:38:16.0	2006-11-02 08:38:16.0	1	1		1	0	0	1		
41510	271q2h2eu0ag	Unit DIVIDING-GROUPS, Section DIVIDING_GROUPS-2	POG2-15-1	1	HowManyPink2	2006-11-02 09:21:10.0	2006-11-02 09:21:14.0	2006-11-02 09:21:14.0	2006-11-02 09:21:14.0	4	4		1	0	0	1	Enter items numerator	14
41858	271q2h2eu0ag	Unit EQUIVALENT-FRACTIONS, Section EQUIVALENT-FRACTIONS-5	EQFRAC5ER003-035	1	Numerator1	2006-11-09 09:01:37.0	2006-11-09 09:01:58.0	2006-11-09 09:01:58.0	2006-11-09 09:01:58.0	21	21		1	0	0	1	Rewrite fraction with common denominator	20
42315	271q2h2eu0ag	Unit FRACTION-OPERATIONS-1, Section FRACTION-OPERATIONS-I-4	FRACOPS4S01-28	1	CommonDenominator	2006-11-16 08:34:26.0	2006-11-16 08:34:31.0	2006-11-16 08:34:31.0	2006-11-16 08:34:31.0	5	5		1	0	0	1	Identify common denominator	46
42794	271q2h2eu0ag	Unit MIXED-IMPROPER-FRACTIONS, Section MIXED-IMPROPER-FACTIONS-3	FRAC-OP1-091	1	4 166/49	2006-12-07 08:27:06.0	2006-12-07 08:27:26.0	2006-12-07 08:27:26.0	2006-12-07 08:27:37.0	31	31		1	2	0	2	[SkillRule: Select regroup mixed number; Regroup mixed number]	3
43216	271q2h2eu0ag	Unit FRACTION-OPERATIONS-2, Section FRACTION-OPERATIONS-II-3	FRAC-OP2-335	1	11/10*(7/12)	2006-12-14 09:00:41.0	2006-12-14 09:00:46.0	2006-12-14 09:00:46.0	2006-12-14 09:00:54.0	13	13		1	0	0	3	[SkillRule: Select multiply through; Multiply through]	39
43544	271q2h2eu0ag	Unit REPRESENTING-DECIMALS, Section representing-decimals-2	DECIMAL2W-050	1	PlaceValue4	2007-01-04 08:46:07.0	2007-01-04 08:46:09.0	2007-01-04 08:46:09.0	2007-01-04 08:46:09.0	2	2		1	0	0	1	Enter label (general) -- DO NOT TRACK ME	34
43830	271q2h2eu0ag	Unit CONV-FRACTIONS-DECIMALS, Section conv-fractions-decimals-1	DECIMAL5-009	1	ExpandedSimplifiable	2007-01-04 09:19:28.0	2007-01-04 09:19:31.0	2007-01-04 09:19:31.0	2007-01-04 09:19:31.0	3	3		1	0	0	1	Identify that a fraction can/cannot be simplified	34
44271	271q2h2eu0ag	Unit DECIMAL-OPERATIONS-1, Section DECIMAL-OPERATIONS-I-2	DECIMAL9-113	1	DigitAnswer-5	2007-01-11 08:50:24.0	2007-01-11 08:50:29.0	2007-01-11 08:50:29.0	2007-01-11 08:50:29.0	5	5		1	0	0	1	Enter answer digit -- DON'T TRACK ME	110
45484	271q2h2eu0ag	Unit DECIMAL-OPERATIONS-2, Section DECIMAL-OPERATIONS-II-4	DECIMAL14-001	1	Dividend	2007-01-25 09:06:38.0	2007-01-25 09:06:51.0	2007-01-25 09:07:39.0	2007-01-25 09:07:39.0	26		26	0	2	1	1	Position dividend	14
46021	271q2h2eu0ag	Unit RATIO-PROPORTION, Section RATIO-PROPORTION-4	RATIO4-001	1	FinalAnswer	2007-02-01 08:53:11.0	2007-02-01 08:53:14.0	2007-02-01 08:53:14.0	2007-02-01 08:53:14.0	3	3		1	0	0	1	Enter Calculated value of rate	8
46637	271q2h2eu0ag	Unit PERCENT-CONVERSION, Section PERCENT-CONVERSION-5	PERCENTCONV5-179	1	Simplifiable	2007-02-08 09:07:15.0	2007-02-08 09:07:16.0	2007-02-08 09:07:18.0	2007-02-08 09:07:18.0	3		3	0	1	0	1	Identify that a fraction can/cannot be simplified	133
47115	271q2h2eu0ag	Unit PERCENT-PROPORTION, Section PERCENT-PROPORTION-5	PERCENTPROP5-047	1	FirstRow2:1	2007-02-16 09:03:58.0	2007-02-16 09:03:59.0	2007-02-16 09:03:59.0	2007-02-16 09:03:59.0	1	1		1	0	0	1	Enter first extreme in equation	47
47776	271q2h2eu0ag	Unit PERCENT-CHANGE, Section PERCENT-CHANGE-4	PERCENTMIX4-036	1	DenominatorLabel1	2007-02-22 08:58:06.0	2007-02-22 08:58:10.0	2007-02-22 08:58:10.0	2007-02-22 08:58:10.0	4	4		1	0	0	1	Enter proportion label in denominator	56
48221	271q2h2eu0ag	Unit INTEGERS, Section INTEGERS-5	INTEGER5-017	1	Result	2007-03-01 08:37:54.0	2007-03-01 08:37:58.0	2007-03-01 08:37:58.0	2007-03-01 08:37:58.0	4	4		1	0	0	1	Calculate sum with negative integer	9
48360	271q2h2eu0ag	Unit INTEGER-MULTDIV, Section INTEGER-MULTDIV-3	INTDIV-060	1	-60/5	2007-03-01 08:58:01.0	2007-03-01 08:58:04.0	2007-03-01 08:58:21.0	2007-03-01 08:58:21.0	20		20	0	2	0	1		
48689	271q2h2eu0ag	Unit EXPONENTS, Section EXPONENTS-5	EXPONENT5-159	1	AddFactor1:1	2007-03-01 09:31:15.0	2007-03-01 09:31:20.0	2007-03-01 09:31:20.0	2007-03-01 09:31:20.0	5	5		1	0	0	1		
48894	271tflqe6qsk	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-1	PICTALG1AU414	1	Bar2	2006-10-05 09:20:20.0	2006-10-05 09:20:43.0	2006-10-05 09:20:43.0	2006-10-05 09:20:43.0	23	23		1	0	0	1	Draw smaller bar -- addition/subtraction	2
49240	271tflqe6qsk	Unit LCM, Section lcm-2	LCM-C-03-18	1	Product	2006-10-19 08:37:10.0	2006-10-19 08:37:42.0	2006-10-19 08:37:42.0	2006-10-19 08:37:42.0	32	32		1	0	0	1	Calculate product of two numbers	16
50037	271tflqe6qsk	Unit GCF, Section gcf-1	GCF-06-20	1	GCFCheckbox2:4	2006-11-02 09:22:41.0	2006-11-02 09:22:42.0	2006-11-02 09:22:42.0	2006-11-02 09:22:42.0	1	1		1	0	0	1	Identify number as common factor	274
50594	271ufl8oobu6	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-3	PICTALG3MU071	1	SecondAnswer	2006-10-05 09:18:35.0	2006-10-05 09:18:39.0	2006-10-05 09:18:39.0	2006-10-05 09:18:39.0	0	0		1	0	0	1	Enter quantity from diagram by reading	58
51145	271ufl8oobu6	Unit LCM, Section lcm-2	LCM-C-09-15	1	Product	2006-10-19 08:44:12.0	2006-10-19 08:44:26.0	2006-10-19 08:44:32.0	2006-10-19 08:44:32.0	20		20	0	1	0	1	Calculate product of two numbers	18
51538	271ufl8oobu6	Unit GCF, Section gcf-2	GCF-C-06-18	1	Question2	2006-10-26 08:50:52.0	2006-10-26 08:50:58.0	2006-10-26 08:50:58.0	2006-10-26 08:50:58.0	6	6		1	0	0	1	Identify number of items in each group from GCF	13
52494	271ufl8oobu6	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-6	POW6N19	1	Fraction	2006-11-30 09:17:00.0	2006-11-30 09:17:03.0	2006-11-30 09:17:03.0	2006-11-30 09:17:03.0	3	3		1	0	0	1	Identify fraction using number line	12
56673	271ufl8oobu6	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-3	POWS3C29	1	Exercise1:Item3:4	2007-02-16 08:34:50.0	2007-02-16 08:34:51.0	2007-02-16 08:34:51.0	2007-02-16 08:34:51.0	1	1		1	0	0	1		
57788	271ufl8oobu6	Unit DIVIDING-GROUPS, Section DIVIDING_GROUPS-2	POG2-04-1	1	HowManyPink2	2007-02-22 08:37:30.0	2007-02-22 08:37:32.0	2007-02-22 08:37:32.0	2007-02-22 08:37:32.0	2	2		1	0	0	1	Enter items numerator	21
58388	271ufl8oobu6	Unit EQUIVALENT-FRACTIONS, Section EQUIVALENT-FRACTIONS-5	EQFRAC5ER035-003	1	CommonDenominator	2007-05-10 09:02:06.0	2007-05-10 09:02:12.0	2007-05-10 09:02:12.0	2007-05-10 09:02:12.0	6	6		1	0	0	1	Identify common denominator	19
58713	271ufl8oobu6	Unit FRACTION-OPERATIONS-1, Section FRACTION-OPERATIONS-I-2	FRACOPS2A14-13	1	Simplifiable	2007-05-24 09:16:28.0	2007-05-24 09:16:29.0	2007-05-24 09:16:29.0	2007-05-24 09:16:29.0	1	1		1	0	0	1	Identify that a fraction cannot be simplified	11
59190	271x98q5smdq	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU398	1	Bar2	2006-10-12 08:37:04.0	2006-10-12 08:37:07.0	2006-10-12 08:37:07.0	2006-10-12 08:37:07.0	3	3		1	0	0	1	Draw smaller bar -- addition/subtraction	23
59641	271x98q5smdq	Unit LCM, Section lcm-2	LCM-C-09-15	1	LCMFactor2:2	2006-10-12 09:30:32.0	2006-10-12 09:30:35.0		2006-10-12 09:30:35.0	3		3	0	1	0	0	List consecutive multiples of a number	207
60280	271x98q5smdq	Unit GCF, Section gcf-1	GCF-06-15	1	FactorPairBox:1:1	2006-11-02 08:25:04.0	2006-11-02 08:25:07.0	2006-11-02 08:25:07.0	2006-11-02 08:25:07.0	1.5	1.5		1	0	0	1		
61132	271x98q5smdq	Unit REPRESENTING-FRACTIONS, Section REPRESENTING-FRACTIONS-6	POW6N19	1	Fraction	2006-11-16 09:02:53.0	2006-11-16 09:02:57.0	2006-11-16 09:02:57.0	2006-11-16 09:02:57.0	4	4		1	0	0	1	Identify fraction using number line	9
65864	271x98q5smdq	Unit DIVIDING-MULTIPLE-WHOLES, Section DIVIDING-MULTIPLE-WHOLES-3	POWS3S13	1	Exercise1:Item4:6	2006-12-19 08:34:55.0	2006-12-19 08:34:56.0	2006-12-19 08:34:56.0	2006-12-19 08:34:56.0	1	1		1	0	0	1		
66688	271x98q5smdq	Unit DIVIDING-GROUPS, Section DIVIDING_GROUPS-3	POG3-06-2-1	1	TotalGroups		2007-01-04 08:42:38.0	2007-01-04 08:42:38.0	2007-01-04 08:42:38.0				1	0	0	1	Identify number of equal groups from fraction	33
